id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,,lead_actors,y
0,tt0984055,jochi anihan-ga,jochi anihan-ga,2007,01/03/2007,"comedy, drama",114,south korea,korean,yoon-chul jung,"yoon-chul jung, kab-yeol yu",,"ho-jin chun, hee-kyung moon, hye-su kim, ah-in yoo, bo-ra hwang, yu-mi jung, hae-il park, ki-woo lee, hyeok-pil lim","an ordinary but eccentric family keep their emotions in check, and live their individual hum-drum lives.",6.5,146,,,$ 1889755,,1,4,,"ho-jin chun, hee-kyung moon, hye-su kim, ah-in","yoo, bo-ra hwang, yu-mi jung, hae-il park, ki-woo lee, hyeok-pil lim"
1,tt0984057,kim-gwanjang dae kim-gwanjang dae kim-gwanjang,kim-gwanjang dae kim-gwanjang dae kim-gwanjang,2007,08/02/2007,"action, comedy",97,south korea,korean,seong-gyun park,seong-gyun park,taewon entertainment,"hyeon-jun shin, seong-guk choi, oh-jung kwon, seung-hyun oh, joon-yeong jang, jun-ha jeong, byung-man kim, han-wi lee, won-ju moon, ju-hyeon no, cheol-min park, jae-hun tak","three martial art master with the same surname, kim. compete with each other to win the beautiful girl heart, yeon sil.",6.2,256,,,$ 5731770,,,5,,"hyeon-jun shin, seong-guk choi, oh-jung kwon,","seung-hyun oh, joon-yeong jang, jun-ha jeong, byung-man kim, han-wi lee, won-ju moon, ju-hyeon no, cheol-min park, jae-hun tak"
2,tt0984118,snuff 102,snuff 102,2007,01/03/2007,"horror, thriller",105,argentina,spanish,mariano peralta,mariano peralta,,"andrea alfonso, julián alfonzo, rodrigo bianco, nicolás blanco, lucas delgado, yamila greco, salvador haidar, silvia paz, eduardo peralta, mariano peralta, eduardo poli",a young reporter fascinated by the urban legend of snuff movies gets more than she bargained for when her deep research begins.,3.6,845,,,,,15,12,,"andrea alfonso, julián alfonzo, rodrigo bianco, nico","lás blanco, lucas delgado, yamila greco, salvador haidar, silvia paz, eduardo peralta, mariano peralta, eduardo poli"
3,tt0984122,swami,swami,2007,08/06/2007,drama,140,india,hindi,ganesh acharya,"muazzam beg, bhavani iyer",pushpa krishna creations,"manoj bajpayee, juhi chawla, maninder wasu, neha pendse, nitin arora, amitabh bachchan, ashok beniwal, alex bhagat, bharat, deep, siddharth gupta, vijay kashyap, ameya pandya, vivek shauq, manmeet singh","swami, radha and their kid shift to mumbai after selling off their ancestral home in a village. in mumbai, they get their kid admitted to a school that's patronized by children belonging to...",7,327,,,$ 94173,,4,3,,"manoj bajpayee, juhi chawla, maninder wasu, ne","ha pendse, nitin arora, amitabh bachchan, ashok beniwal, alex bhagat, bharat, deep, siddharth gupta, vijay kashyap, ameya pandya, vivek shauq, manmeet singh"
4,tt0984175,a casa de alice,a casa de alice,2007,15/11/2007,drama,92,brazil,portuguese,chico teixeira,chico teixeira,superfilmes,"carla ribas, berta zemel, vinicius zinn, ricardo vilaça, felipe massuia, zécarlos machado, renata zhaneta, luciano quirino, mariana leighton, dirce couto, jorge cerruti, talita craveiro, elias andreato, claudio jaborandy, cícero augusto","alice, married for the last 20 years to a taxi driver, works in a beauty parlour, has three children, the eldest of whom is doing his military service, and a mother who works as a maid in ...",6.9,586,,$ 61822,$ 193531,67,4,32,,"carla ribas, berta zemel, vinicius zinn, ricardo vila","ça, felipe massuia, zécarlos machado, renata zhaneta, luciano quirino, mariana leighton, dirce couto, jorge cerruti, talita craveiro, elias andreato, claudio jaborandy, cícero augusto"
5,tt0984969,año uña,año uña,2007,28/11/2008,"drama, romance",79,mexico,"english, spanish",jonás cuarón,jonás cuarón,esperanto filmoj,"eireann harper, diego cataño, michele alban, cristina orozco, mariana elizondo, pia elizondo, emilia garcia, mateo garcia, jeronimo garcia, paulina lavista, pablo elizondo, katie hegarty, max shmookler, jesús ochoa, david lida",a love story between a mexican teenager and an older american woman who meet one summer in mexico.,6.6,302,$ 8000,,$ 4882,,6,11,,"eireann harper, diego cataño, michele alban, cristi","na orozco, mariana elizondo, pia elizondo, emilia garcia, mateo garcia, jeronimo garcia, paulina lavista, pablo elizondo, katie hegarty, max shmookler, jesús ochoa, david lida"
6,tt0985119,zincirbozan,zincirbozan,2007,13/04/2007,"crime, drama",110,turkey,turkish,atil inaç,avni özgürel,digiturk,"bülent emin yarar, suavi eren, haldun boysan, suna selen, ayse tunaboylu, ege aydan, emre karayel, ismail incekara, ken dakan, atil inaç, türkü hazer, volga sorgu, erdem akakçe, serkan genç, mehmet ali nuroglu",,5.7,562,,,$ 458625,,,,,"bülent emin yarar, suavi eren, haldun boysan, su","na selen, ayse tunaboylu, ege aydan, emre karayel, ismail incekara, ken dakan, atil inaç, türkü hazer, volga sorgu, erdem akakçe, serkan genç, mehmet ali nuroglu"
7,tt0985597,centochiodi,centochiodi,2007,30/03/2007,drama,92,italy,"italian, english",ermanno olmi,ermanno olmi,cinemaundici,"raz degan, luna bendandi, andrea lanfredi, amina syed, carlo faroni, luigi galvani, enrico molinari, giuseppe pivanti, giovanni ponti, pino ponti, gino rizzati, angela fornaciari, ettore viani, franco seroni, yuri dini","an italian professor seeks refuge in the quiet, peaceful ruins of an old building.",6.4,684,eur 4213000,,$ 3536561,,4,22,,"raz degan, luna bendandi, andrea lanfredi, amina s","yed, carlo faroni, luigi galvani, enrico molinari, giuseppe pivanti, giovanni ponti, pino ponti, gino rizzati, angela fornaciari, ettore viani, franco seroni, yuri dini"
8,tt0985636,laaga chunari mein daag: journey of a woman,laaga chunari mein daag: journey of a woman,2007,12/10/2007,"drama, family, romance",122,india,"hindi, bhojpuri",pradeep sarkar,"rekha nigam, rekha nigam",apocalypse filmworks productions,"rani mukerji, jaya bachchan, konkona sen sharma, kunal kapoor, anupam kher, abhishek bachchan, hema malini, murli sharma, kamini kaushal, harsh chhaya, tinnu anand, sushant singh, taraana raja, suchitra pillai, ninad kamat",a small town girl lands in big bad mumbai to earn an honest living but faces a confrontation she would've never dreamt of in her wildest dreams.,5.3,2162,,$ 675102,$ 9354562,,25,13,,"rani mukerji, jaya bachchan, konkona sen sharma,","kunal kapoor, anupam kher, abhishek bachchan, hema malini, murli sharma, kamini kaushal, harsh chhaya, tinnu anand, sushant singh, taraana raja, suchitra pillai, ninad kamat"
9,tt0985680,underbar och älskad av alla (och på jobbet går det också bra),underbar och älskad av alla (och på jobbet går det också bra),2007,24/08/2007,"comedy, drama",106,"sweden, austria, denmark",swedish,hannes holm,"martina haag, martina haag",buena vista international (sweden),"martina haag, nikolaj coster-waldau, ellen jelinek, reine brynolfsson, katrin sundberg, per sandberg, jan mybrand, chatarina larsson, stig engström, ingrid luterkort, jonas malmsjö, santo magonza, richard ulfsäter, harald lönnbro, kjell sundvall","isabella is 30 and single. her friends have fancy careers, getting married and so on. she is a freelance actor. in her cv, among other merits, she claims being an acrobat. one little lie will leads to another. bigger.",4.9,760,,,$ 2359205,,2,7,,"martina haag, nikolaj coster-waldau, ellen jelinek,","reine brynolfsson, katrin sundberg, per sandberg, jan mybrand, chatarina larsson, stig engström, ingrid luterkort, jonas malmsjö, santo magonza, richard ulfsäter, harald lönnbro, kjell sundvall"
