id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,lead_actors,y
0,tt1384925,el ardor,el ardor,2014,2014,"drama, western",101,"argentina, mexico, brazil, france, usa, spain","spanish, english, guarani",pablo fendrik,pablo fendrik,magma cine,"alice braga, gael garcía bernal, chico díaz, jorge sesán, claudio tolcachir, julián tello, iván steinhardt, lautaro vilo","a mysterious man emerges from the argentinean rainforest to help a poor farmer and his daughter, who are threatened by a band of mercenaries hired to force them to sell their land.",5.1,711,,$ 18565,$ 95549,48,6,63,"alice braga, gael garcía bernal, chico díaz, jorge sesán",", claudio tolcachir, julián tello, iván steinhardt, lautaro vilo"
1,tt1385543,haunted,haunted,2014,04/03/2014,"horror, thriller",102,usa,english,victor salva,"charles agron, victor salva",charles agron productions,"luke kleintank, alex mckenna, anthony rey, zack ward, lacey anzelc, ethan s. smith, lesley-anne down, tobin bell, charles agron, tonya carter, brandon smith, daniel ross owens, max gail, patricia belcher, tony sanford","when nick di santo learns that his father is not only alive but can possibly reveal the origin of his son's dark gift, he sets out on a trip that takes him to an abandoned mansion he thought only existed in his childhood imagination.",4.7,2251,,,,22,33,56,"luke kleintank, alex mckenna, anthony rey, zack wa","rd, lacey anzelc, ethan s. smith, lesley-anne down, tobin bell, charles agron, tonya carter, brandon smith, daniel ross owens, max gail, patricia belcher, tony sanford"
2,tt1396523,revenge of the green dragons,revenge of the green dragons,2014,11/09/2014,"action, crime, drama",94,"hong kong, usa","english, chinese","andrew lau, andrew loo","fredric dannen, michael di jiacomo",im global,"justin chon, kevin wu, harry shum jr., eugenia yuan, leonard wu, jin au-yeung, jon kit lee, shuya chang, alex fox, michael gregory fung, celia au, ron yuan, billy magnussen, geoff pierson, ray liotta",two best friends rise through the ranks of new york's chinese underworld in the 1980s.,5.3,3522,$ 5000000,,$ 107412,36,35,52,"justin chon, kevin wu, harry shum jr., eugenia","yuan, leonard wu, jin au-yeung, jon kit lee, shuya chang, alex fox, michael gregory fung, celia au, ron yuan, billy magnussen, geoff pierson, ray liotta"
3,tt1403241,wolves,wolves,2014,28/08/2014,"action, fantasy, horror",91,"france, canada",english,david hayter,david hayter,tf1 international,"lucas till, stephen mchattie, john pyper-ferguson, merritt patterson, jason momoa, janet-laine green, melanie scrofano, adam butcher, philip maurice hayes, brandon mcgibbon, miriam mcdonald, stephen sparks, jennifer hale, kaitlyn leeb, daniel kelly",a boy is trying to find out about his family history and stumbles upon a town of lycans.,5.3,7527,$ 18000000,$ 12139,$ 491154,37,50,61,"lucas till, stephen mchattie, john pyper-ferguson",", merritt patterson, jason momoa, janet-laine green, melanie scrofano, adam butcher, philip maurice hayes, brandon mcgibbon, miriam mcdonald, stephen sparks, jennifer hale, kaitlyn leeb, daniel kelly"
4,tt1403862,sinbad: the fifth voyage,sinbad: the fifth voyage,2014,07/02/2014,"action, adventure, fantasy",89,usa,english,shahin sean solimon,"shahin sean solimon, evelyn gabai",giant flick films,"patrick stewart, shahin sean solimon, said faraj, lorna raver, mariam vardanyan, jon jon briones, isaac c. singleton jr., sadie alexandru, marco khan, william romeo, david light, mehrdad sarlak, thomas gunter, aria bigy, robert christopher henderson","when the sultan's firstborn is taken by an evil sorcerer, sinbad is tasked with travelling to a desert of magic and creatures to save her.",5.5,4553,,$ 159862,$ 159862,,54,11,"patrick stewart, shahin sean solimon, said faraj, lo","rna raver, mariam vardanyan, jon jon briones, isaac c. singleton jr., sadie alexandru, marco khan, william romeo, david light, mehrdad sarlak, thomas gunter, aria bigy, robert christopher henderson"
5,tt1405413,of silence,of silence,2014,14/01/2014,"drama, horror, sci-fi",94,usa,english,jeremiah sayys,jeremiah sayys,worldslasthero productions,"jeremiah sayys, masiela lusha, ashlee gillespie, najarra townsend, suzanne ford, matthew lawrence, muse watson, paul cuneo, will rodriguez, joseph schell","an ailing former scuba diver, who faces extremely tough times, begins experiencing otherworldly incidents.",3,333,$ 280000,,,,7,16,"jeremiah sayys, masiela lusha, ashlee gillespie, naj","arra townsend, suzanne ford, matthew lawrence, muse watson, paul cuneo, will rodriguez, joseph schell"
6,tt1408253,ride along,ride along,2014,28/02/2014,"action, comedy, crime",99,usa,"english, ukrainian",tim story,"greg coolidge, jason mantzoukas",universal pictures,"ice cube, kevin hart, john leguizamo, bruce mcgill, tika sumpter, bryan callen, laurence fishburne, dragos bucur, gary owen, jacob latimore, jay pharoah, benjamin flores jr., greg rementer, eric benson, anna house","security guard ben must prove himself to his girlfriend's brother, top police officer james. he rides along james on a 24-hour patrol of atlanta.",6.2,96475,$ 25000000,$ 134938200,$ 154468902,41,126,153,"ice cube, kevin hart, john leguizamo, bruce mcgil","l, tika sumpter, bryan callen, laurence fishburne, dragos bucur, gary owen, jacob latimore, jay pharoah, benjamin flores jr., greg rementer, eric benson, anna house"
7,tt1418377,"i, frankenstein","i, frankenstein",2014,29/01/2014,"action, fantasy, horror",92,"usa, australia",english,stuart beattie,"stuart beattie, kevin grevioux",hopscotch features,"aaron eckhart, yvonne strahovski, miranda otto, bill nighy, jai courtney, socratis otto, aden young, caitlin stasey, mahesh jadu, steve mouzakis, nicholas bell, deniz akdeniz, chris pang, kevin grevioux, bruce spence","frankenstein's creature finds himself caught in an all-out, centuries old war between two immortal clans.",5.1,75931,$ 65000000,$ 19075290,$ 71154592,30,225,322,"aaron eckhart, yvonne strahovski, miranda otto, bill","nighy, jai courtney, socratis otto, aden young, caitlin stasey, mahesh jadu, steve mouzakis, nicholas bell, deniz akdeniz, chris pang, kevin grevioux, bruce spence"
8,tt1418754,john doe: vigilante,john doe: vigilante,2014,21/03/2014,"crime, thriller",93,australia,english,kelly dolen,"stephen m. coates, stephen m. coates",rapidfire entertainment,"jamie bamber, lachy hulme, gary abrahams, sam parsonson, brendan clearkin, brooke ryan, ditch davey, louise crawford, guy kable, randall berger, isabella woodlock, barry quin, erin dewar, richard moss, chris palframan",an ordinary man fights violence the only way he knows how - by killing one criminal at a time. hero or villain? justice or vengeance? you decide.,6.6,8048,,,,,37,14,"jamie bamber, lachy hulme, gary abrahams, sam p","arsonson, brendan clearkin, brooke ryan, ditch davey, louise crawford, guy kable, randall berger, isabella woodlock, barry quin, erin dewar, richard moss, chris palframan"
9,tt1430612,brick mansions,brick mansions,2014,02/05/2014,"action, crime",90,"france, canada, usa","english, chinese",camille delamarre,"luc besson, luc besson",relativity media,"paul walker, david belle, rza, goûchy boy, catalina denis, ayisha issa, carlo rota, andreas apergis, richard zeman, robert maillet, bruce ramsay, frank fontaine, chimwemwe miller, andy bradshaw, ryan trudeau",an undercover detroit cop navigates a dangerous neighborhood that's surrounded by a containment wall with the help of an ex-con in order to bring down a crime lord and his plot to devastate the entire city.,5.7,38089,$ 28000000,$ 20396829,$ 68896829,40,120,187,"paul walker, david belle, rza, goûchy boy, catalina","denis, ayisha issa, carlo rota, andreas apergis, richard zeman, robert maillet, bruce ramsay, frank fontaine, chimwemwe miller, andy bradshaw, ryan trudeau"
