id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,lead_actors,y,
0,tt4561318,webcam,webcam,2015,15/07/2015,"comedy, drama",110,iceland,icelandic,sigurður anton,sigurður anton,stofa 224,"anna hafþórsdóttir, telma huld jóhannesdóttir, júlí heiðar halldórsson, ævar már ágústsson, gunnar helgason, guðmundur snorri sigurðarson, bylgja babylons, melína kolka guðmundsdóttir, gunnar marís, steinunn halla mcqueen, andri freyr sigurpálsson, york underwood, rökkvi vésteinsson, andri ívarsson, magnús thoroddsen ívarsson","a college student begins working as a cam girl, with support from her best friend.",6.6,101,,,,,1,,"anna hafþórsdóttir, telma huld jóhannesdóttir, júl","í heiðar halldórsson, ævar már ágústsson, gunnar helgason, guðmundur snorri sigurðarson, bylgja babylons, melína kolka guðmundsdóttir, gunnar marís, steinunn halla mcqueen, andri freyr s","igurpálsson, york underwood, rökkvi vésteinsson, andri ívarsson, magnús thoroddsen ívarsson"
1,tt4563294,jesse james: lawman,jesse james: lawman,2015,28/05/2015,western,77,usa,english,brett kelly,janet hetherington,barnholtz entertainment,"kevin sorbo, peter fonda, andrew galligan, lawrence evenchick, lee cyr, jeff dylan graham, andre guantanamo, john n.e. hill, candice lidstone, pavel lubanski, john migliore, ian quick, mark singleton, john tomac, chad walls","when a small town is overrun by the gang of outlaws. the mayor finds that they are under the thumb of the gang's leader, villainous hoyt killian. the town's sheriff takes it upon himself to...",1.9,246,,,,,8,1,"kevin sorbo, peter fonda, andrew galligan, lawrence","evenchick, lee cyr, jeff dylan graham, andre guantanamo, john n.e. hill, candice lidstone, pavel lubanski, john migliore, ian quick, mark singleton, john tomac, chad walls",
2,tt4563702,seven days: friday - sunday,seven days: friday - sunday,2015,04/07/2015,"comedy, romance",82,japan,japanese,kenji yokoi,"benio tachibana, rihito takarai",,"tomoki hirose, yûki hiyori, rin ishikawa, itsuki sagara, yukihiro takiguchi, hinako tanaka, james takeshi yamada","the second part, the first part is seven days monday - thursday. the continuation of seryou and shinos date week, two high school students.",6.8,256,,,,,,,"tomoki hirose, yûki hiyori, rin ishikawa, itsuki sag","ara, yukihiro takiguchi, hinako tanaka, james takeshi yamada",
3,tt4563970,trevor noah: the nationwild comedy tour,trevor noah: the nationwild comedy tour,2015,27/03/2015,comedy,94,south africa,english,david paul meyer,"trevor noah, dusty rich",ark angel entertainment,"trevor noah, dusty rich, robby collins, dillan oliphant",what do you get when you take some of the funniest people in south africa and put them on the same stage? that's the question trevor noah answered with sa's first nationwild tour. featuring...,3.6,112,,,,,,,"trevor noah, dusty rich, robby collins, dillan olip",hant,
4,tt4566574,mega shark vs. kolossus,mega shark vs. kolossus,2015,16/07/2015,"action, adventure, comedy",89,usa,english,christopher ray,edward deruiter,lawson digital,"illeana douglas, amy rider, brody hutzler, adam dunnells, edward deruiter, tara price, ernest thomas, jeff hatch, tim abell, clare grant, alison haislip, milynn sarley, bryan hanna, rileah vanderbilt, patrick bauchau","in search of a new energy source, russia accidentally reawakens the kolossus - a giant robot doomsday device from the cold war. at the same time, a new mega shark appears, threatening global security.",2.7,1321,,,,,12,10,"illeana douglas, amy rider, brody hutzler, adam dun","nells, edward deruiter, tara price, ernest thomas, jeff hatch, tim abell, clare grant, alison haislip, milynn sarley, bryan hanna, rileah vanderbilt, patrick bauchau",
5,tt4566934,cosmic sex,cosmic sex,2015,15/02/2015,drama,97,india,bengali,amitabh chakraborty,"liaquat ali, amitabh chakraborty",four moons,"rii sen, ayushman mitra, biplab banerjee, papia ghoshal, riwk jaiswal, murari mukherjee","one night, kripa is on the run from sex and violence when he meets sadhavi, a woman who strangely resembles his dead mother. she gives him shelter and teaches him to travel inwards through sex.",4,561,,,,,3,,"rii sen, ayushman mitra, biplab banerjee, papia","ghoshal, riwk jaiswal, murari mukherjee",
6,tt4567486,the mind's eye,the mind's eye,2015,05/08/2016,"action, horror, sci-fi",87,usa,english,joe begos,joe begos,channel 83 films,"graham skipper, lauren ashley carter, john speredakos, larry fessenden, noah segan, matt mercer, michael a. locicero, jeremy gardner, patrick m. walsh, brian morvant, josh ethier, susan t. travers, chuck doherty, jesse dufault, angella lynsey ford","zack connors and rachel meadows were born with incredible psychokinetic capabilities. when word of their supernatural talents gets out, they find themselves the prisoners of michael slovak,...",4.5,1569,,,,55,20,61,"graham skipper, lauren ashley carter, john spereda","kos, larry fessenden, noah segan, matt mercer, michael a. locicero, jeremy gardner, patrick m. walsh, brian morvant, josh ethier, susan t. travers, chuck doherty, jesse dufault, angella lynsey ford",
7,tt4568268,orizont,orizont,2015,12/02/2016,"action, crime, drama",93,romania,romanian,"marian crisan, anca puiu","marian crisan, anca puiu",mandragora movies,"andrás hatházi, rodica lazar, maria seles, zsolt bogdán, valeriu andriuta, niko becker, emilian oprea, ioan paraschiv, ciprian nicula, dudescu silviu, enikõ györgyjakab, elena ivanca, vlad corb, elena purea, dan radulescu","trying to find their luck, husband and wife, lucian and andra start a new business by managing a guest-house hidden somewhere deep in the mountains.",6.1,202,eur 800000,,$ 9533,,,6,"andrás hatházi, rodica lazar, maria seles, zsolt bogdán",", valeriu andriuta, niko becker, emilian oprea, ioan paraschiv, ciprian nicula, dudescu silviu, enikõ györgyjakab, elena ivanca, vlad corb, elena purea, dan radulescu",
8,tt4568370,blind sun,blind sun,2015,20/04/2016,"horror, mystery",88,"france, greece","french, greek, english",joyce a. nashawati,"joyce a. nashawati, joyce a. nashawati",good lap production,"ziad bakri, mimi denissi, louis-do de lencquesaing, yannis stankoglou, laurène brun, gwendoline hamon, yiorgos gallos, theodoros kandiliotis, andreas marianos, sarah krebs, adrian dannatt, vangelis papatzanakis, giorgos siolas, james velaise","greece. sometime in the near future. a seaside resort struck by a heavy heat wave. water is rare and violence is mounting. ashraf, a solitary immigrant, is looking after a villa while its ...",5.5,287,,,,,8,24,"ziad bakri, mimi denissi, louis-do de lencquesaing,","yannis stankoglou, laurène brun, gwendoline hamon, yiorgos gallos, theodoros kandiliotis, andreas marianos, sarah krebs, adrian dannatt, vangelis papatzanakis, giorgos siolas, james velaise",
9,tt4569240,un monstruo de mil cabezas,un monstruo de mil cabezas,2015,30/03/2016,"drama, thriller",74,mexico,spanish,rodrigo plá,laura santullo,buenaventura,"jana raluy, sebastián aguirre, hugo albores, emilio echevarría, úrsula pruneda, daniel giménez cacho, noé hernández, harold torres, marisol centeno, veronica falcón, marco antonio aguirre, francisco barreiro, gabriel casanova, ilya cazes, ivan cortes","when her insurance company refuses to approve the care her husband needs to survive, sonia bonet (jan raluy) takes things into her own hands. up against an unyielding bureaucracy and ...",6.5,834,,$ 24852,$ 26865,71,5,33,"jana raluy, sebastián aguirre, hugo albores, emilio","echevarría, úrsula pruneda, daniel giménez cacho, noé hernández, harold torres, marisol centeno, veronica falcón, marco antonio aguirre, francisco barreiro, gabriel casanova, ilya cazes, ivan cortes",
