id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,lead_actors,y
0,tt0105777,vääpeli körmy ja etelän hetelmät,vääpeli körmy ja etelän hetelmät,1992,09/10/1992,comedy,104,finland,finnish,ere kokkonen,ere kokkonen,ere kokkonen,"heikki kinnunen, kalevi kahra, pentti siimes, vesa vierikko, tom pöysti, elina pohjanpää, maria melin, mari vainio, eija vilpas, tarja-tuulikki tarsala, jukka puotila, pekka huotari, santeri kinnunen, jani volanen, ville lyytikäinen",finland is given the global nuclear launch codes and the enemy agents are trying to steal them. it's up to sergeant first class körmy and his soldiers to protect the operation and the president.,4.8,467,,,,,,,"heikki kinnunen, kalevi kahra, pentti siimes, vesa","vierikko, tom pöysti, elina pohjanpää, maria melin, mari vainio, eija vilpas, tarja-tuulikki tarsala, jukka puotila, pekka huotari, santeri kinnunen, jani volanen, ville lyytikäinen"
1,tt0105783,warszawa. année 5703,warszawa. année 5703,1992,26/08/1992,"drama, romance, war",110,"france, germany, poland","french, german",janusz kijowski,"artur brauner, jerzy janicki",molécule,"lambert wilson, hanna schygulla, julie delpy, wladyslaw kowalski, piotr cieslak, pawel nowisz, leon niemczyk, krzysztof zaleski, tomasz jarosz, marek kasprzyk","in the winter of 1943 two young jews, alek and fryda, escape, via sewer tunnels, from the atrocities underway in warsaw ghetto. alek, entrusted with undeveloped photos of the horrors within...",6.4,120,,,,,4,,"lambert wilson, hanna schygulla, julie delpy, wl","adyslaw kowalski, piotr cieslak, pawel nowisz, leon niemczyk, krzysztof zaleski, tomasz jarosz, marek kasprzyk"
2,tt0105789,the waterdance,the waterdance,1992,13/05/1992,"drama, romance",106,usa,english,"neal jimenez, michael steinberg",neal jimenez,no frills film production,"eric stoltz, helen hunt, william allen young, james roach, elizabeth peña, henry harris, tony genaro, eva rodriguez, erick vigil, edgar rodriguez, angélica castell, william forsythe, grace zabriskie, wesley snipes, kimberly scott","a film about struggling to deal with paralysis. author joel garcia breaks his neck while hiking, and finds himself in a rehabilitation centre with raymond, an exaggerating ladies' man, and ...",6.7,2515,$ 2700000,$ 1723319,$ 1723319,,24,16,"eric stoltz, helen hunt, william allen young, jam","es roach, elizabeth peña, henry harris, tony genaro, eva rodriguez, erick vigil, edgar rodriguez, angélica castell, william forsythe, grace zabriskie, wesley snipes, kimberly scott"
3,tt0105790,waterland,waterland,1992,21/08/1992,"drama, mystery",95,uk,english,stephen gyllenhaal,"graham swift, peter prince",british screen productions,"jeremy irons, sinéad cusack, grant warnock, lena headey, callum dixon, sean maguire, ross mccall, camilla hebditch, david morrissey, john heard, maggie gyllenhaal, ethan hawke, cara buono, pete postlethwaite, stewart richman","tom crick, a high school history teacher, is having trouble connecting - with his class, with his wife. he ventures into telling his class stories about his young adulthood in the fens ...",6.6,2005,$ 10000000,$ 1100218,$ 1100218,,21,11,"jeremy irons, sinéad cusack, grant warnock, lena he","adey, callum dixon, sean maguire, ross mccall, camilla hebditch, david morrissey, john heard, maggie gyllenhaal, ethan hawke, cara buono, pete postlethwaite, stewart richman"
4,tt0105792,waxwork ii: lost in time,waxwork ii: lost in time,1992,11/05/1992,"comedy, fantasy, horror",104,usa,english,anthony hickox,anthony hickox,electric pictures,"zach galligan, monika schnarre, martin kemp, bruce campbell, michael des barres, jim metzler, sophie ward, marina sirtis, billy kane, joe baker, juliet mills, john ireland, patrick macnee, david carradine, alexander godunov","in this sequel, a couple must use a portal through time to defeat evil.",5.5,3746,$ 3500000,,,,43,32,"zach galligan, monika schnarre, martin kemp, bru","ce campbell, michael des barres, jim metzler, sophie ward, marina sirtis, billy kane, joe baker, juliet mills, john ireland, patrick macnee, david carradine, alexander godunov"
5,tt0105793,wayne's world,wayne's world,1992,22/05/1992,"comedy, music",94,usa,"english, cantonese",penelope spheeris,"mike myers, mike myers",paramount pictures,"mike myers, dana carvey, rob lowe, tia carrere, brian doyle-murray, lara flynn boyle, michael deluise, dan bell, lee tergesen, kurt fuller, sean sullivan, colleen camp, donna dixon, frederick coffin, mike hagerty",two slacker friends try to promote their public-access cable show.,7,135953,$ 20000000,$ 121697323,$ 183097323,57,189,74,"mike myers, dana carvey, rob lowe, tia carrere, brian","doyle-murray, lara flynn boyle, michael deluise, dan bell, lee tergesen, kurt fuller, sean sullivan, colleen camp, donna dixon, frederick coffin, mike hagerty"
6,tt0105796,lo mau,lo mau,1992,22/10/1992,"horror, sci-fi",89,hong kong,cantonese,ngai choi lam,"gordon chan, hing-ka chan",diagonal pictures,"gloria yip, waise lee, christine ng, yuk-san cheung, liang chiang, lam chua, chien hua hsu, phillip chung-fung kwok, shek yin lau, siu-ming lau, kuang ni, hsiang lin yin","an adaptation of the novel old cat, by ni kuang. a cat from outer space teams up with a young alien girl and her knight, along with an adventure novelist named wisely, to fight a murderous alien that possesses people.",6.5,312,,,,,7,13,"gloria yip, waise lee, christine ng, yuk-san cheun","g, liang chiang, lam chua, chien hua hsu, phillip chung-fung kwok, shek yin lau, siu-ming lau, kuang ni, hsiang lin yin"
7,tt0105801,wet and wild summer!,wet and wild summer!,1992,1992,comedy,95,"australia, usa",english,maurice murphy,phillip avalon,beyond films,"christopher atkins, julian mcmahon, rebecca cross, vanessa steele, elliott gould, richard carter, amanda newman-phillips, christopher pate, lois larimore, brian m. logan, mark hembrow, peter gow, anthony lawrence, ann brisk, elizabeth mcivor",bobby mccain is an american lifeguard who goes to australia learns that work can be quite different when you're a lifeguard down under!,4.1,127,,,,,3,1,"christopher atkins, julian mcmahon, rebecca cross",", vanessa steele, elliott gould, richard carter, amanda newman-phillips, christopher pate, lois larimore, brian m. logan, mark hembrow, peter gow, anthony lawrence, ann brisk, elizabeth mcivor"
8,tt0105810,where the day takes you,where the day takes you,1992,11/09/1992,"crime, drama, thriller",105,usa,english,marc rocco,"michael hitchcock, kurt voss",cinetel films,"laura san giacomo, dermot mulroney, robert knepper, sean astin, balthazar getty, will smith, james le gros, ricki lake, lara flynn boyle, peter dobson, kyle maclachlan, nancy mckeon, adam baldwin, rachel ticotin, alyssa milano","a group of teen-age runaways try to survive in the streets of los angeles. drugs, prostitution, violence and bureaucratic indifference all pose threats to the kids, who nevertheless prefer ...",6.7,3007,$ 3000000,$ 390152,$ 390152,,34,14,"laura san giacomo, dermot mulroney, robert kneppe","r, sean astin, balthazar getty, will smith, james le gros, ricki lake, lara flynn boyle, peter dobson, kyle maclachlan, nancy mckeon, adam baldwin, rachel ticotin, alyssa milano"
9,tt0105811,whispers in the dark,whispers in the dark,1992,07/08/1992,"drama, mystery, thriller",103,usa,english,christopher crowe,christopher crowe,paramount pictures,"annabella sciorra, jamey sheridan, anthony lapaglia, jill clayburgh, john leguizamo, deborah kara unger, anthony heald, alan alda, jacqueline brookes, gene canfield, albert pisarenkov, malik, bo dietl, joseph badalucco jr.","a psychiatrist (sciorra) is helping a neurotic art gallery owner who has a submissive and very satisfying sexual relationship with her new lover, a domineering man with a violent streak. an...",5.5,1889,$ 18000000,$ 11124511,$ 11124511,,22,24,"annabella sciorra, jamey sheridan, anthony lapagli","a, jill clayburgh, john leguizamo, deborah kara unger, anthony heald, alan alda, jacqueline brookes, gene canfield, albert pisarenkov, malik, bo dietl, joseph badalucco jr."
